[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=22 e2=KInt info=0 r1=22 r2=128 freereg=23 nactvar=21 line=513
[cg_emit_eq] e1=NonReloc info=23 e2=KInt info=0 r1=23 r2=137 freereg=24 nactvar=22 line=516
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=130 freereg=20 nactvar=19 line=530
[cg_emit_eq] e1=NonReloc info=18 e2=KInt info=0 r1=18 r2=141 freereg=20 nactvar=19 line=530
[4/4] Executing chunk...
testing require
package config: /|;|?|!|-|
testing 'require' message
+
testing assignments, logical operators, and constructors
+
[err] pcall_k failed: Runtime: [string "_soft = true..."]:426: assertion failed!
